,ABV,Astringency_description,Body_description,Alcohol_description,Bitter_description,Sweet_description,Sour_description,Salty_description,Fruits_description,Hoppy_description,Spices_description,Malty_description,Ave IBU,Astringency_customer,Body_customer,Alcohol_customer,Bitter_customer,Sweet_customer,Sour_customer,Salty_customer,Fruits_customer,Hoppy_customer,Spices_customer,Malty_customer
0,-0.34216245980445875,0,1,0,1,1,0,0,0,0,0,1,-0.6680837000885885,-0.375259247467998,2.8008767403799633,-0.1716831854209068,0.4366405851808776,-0.023014178923725315,-0.5928854399847189,0.7956497509447825,-1.1067507495662308,-0.496241087480363,-0.3567360459788388,0.42001696659977494
1,-0.6687820222749423,0,0,0,0,0,0,0,0,0,0,0,-0.11017112837300318,1.6280101644954055,0.7564881436668809,-1.2609832995582824,-0.08242714567553491,-0.8700137584278217,-0.2959356060989387,-0.36557370105271336,-0.28183738021286037,0.38067056734618915,-0.7269143670450665,1.0729319348414332
2,-0.9545741394366156,1,0,1,0,0,1,0,1,1,0,0,-1.5328481862477459,0.7326412497013326,-0.9375957027283693,-0.07648259730538692,-1.229199274980461,-0.8694812781100532,2.0663399404783362,1.2018398304426978,1.736132348844194,-0.5502018518017396,-0.3473985596723336,-1.4833058242891046
3,1.0867981260039072,0,0,0,0,0,0,0,0,0,0,1,0.16878515748478953,-0.4389432056319608,1.853429310469599,0.5881011862588243,0.34159476331496247,0.16993303400439205,-0.805169201648457,0.5608680166409096,-0.9706548620935045,-0.992567733280979,-0.06118752023801678,0.9489387797134202
4,-0.13802523326040647,0,1,0,0,0,0,0,0,0,1,1,0.5872195862714786,-0.26800582804748624,0.3779370220158257,-0.08455029688831411,-0.9518755514852255,-0.10368496081845942,-0.6759252512713124,0.6777052941396041,-0.5103558907952405,-0.9135411437819583,3.847465904994539,-0.673334635832894
5,0.47438644637175037,0,0,0,0,0,0,0,0,0,0,1,2.1214791584893384,-1.183367250941253,-1.248704488451267,0.3615417608622374,0.24933948290977614,1.0840584712049741,0.3005083855073576,-0.9685677408560652,1.3739689198137774,0.08316261433949787,-1.0576414206514273,-0.4054268316176646
6,-0.7504369128925633,0,0,1,1,0,1,0,0,1,0,1,0.44774144334258226,0.720655888946953,-0.4394745642761617,-0.03421777526297015,1.063220801681122,-1.080639880600157,-0.5171326492464778,0.341058051540671,-1.049713568971998,1.0082303689059005,-0.643101247442834,1.0278660753560114
7,-0.0563703426427855,0,0,0,1,1,1,0,1,1,0,0,1.563566586773753,-0.07341098468715444,-0.9716374424220492,-0.705172627070038,0.6661669444395106,-0.20753320885149906,0.9322246324905171,-0.4103172246048821,1.935766524036866,0.30037047968626485,-0.8128690073560033,-1.5763658816633983
8,-0.7504369128925633,0,0,0,0,1,1,0,1,0,0,0,-1.7839088435197594,-0.8138674788952959,-1.9375923295404334,-0.528009373853119,1.486187618640142,0.6639633960416425,-0.30304303809337085,0.8116509862227295,1.570254525737457,0.8012087677478549,-0.48143937326980885,-1.441753162420268
9,-0.7504369128925633,0,0,0,0,0,0,0,0,0,0,0,-0.8912487287748228,1.5540235135698974,2.5332016164000883,-0.4052180336360715,-0.1818431287666158,-0.30098228548644934,-0.4086441305360232,-0.4919069835251642,-0.9540242333631765,-0.05014256600596602,-0.7794102256725137,0.47024007969173287
